frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
9,3,car,1097,416,1210,527,1119,484,1155,504,0.385,36.9,True,,,,no_text,23.7
9,1,auto,1275,366,1804,1069,1457,669,1564,734,0.272,36.9,False,,,,,
10,3,car,1091,419,1212,531,1114,487,1151,504,0.54,16.7,True,,,,no_text,29.8
10,1,auto,1278,369,1803,1071,1463,671,1565,734,0.445,16.7,False,,,,,
11,3,car,1088,416,1208,532,1107,487,1147,505,0.519,17.2,True,,,,no_text,28.4
11,1,auto,1282,367,1804,1071,1464,666,1570,734,0.326,17.2,False,,,,,
12,3,car,1069,418,1206,538,1103,490,1145,505,0.472,17.1,True,,,,no_text,72.2
12,1,auto,1285,368,1806,1072,1469,667,1577,737,0.271,17.1,False,,,,,
12,3,motorcycle,986,455,1079,606,996,496,1044,523,0.259,17.1,True,,,,no_text,22.5
13,3,car,1068,418,1206,539,1103,491,1144,506,0.509,17,True,,,,no_text,75.6
13,1,auto,1288,367,1814,1071,1471,666,1581,738,0.352,17,False,,,,,
13,3,motorcycle,984,455,1078,611,996,490,1044,522,0.345,17,True,,,,no_text,19.9
14,3,car,1053,417,1196,541,1094,491,1133,507,0.554,19.3,True,,,,no_text,45.1
14,1,auto,1287,371,1808,1070,1469,668,1576,736,0.37,19.3,False,,,,,
15,3,car,1044,414,1193,544,1084,493,1124,511,0.564,16.8,True,,,,no_text,32.5
15,1,auto,1283,369,1805,1070,1464,668,1570,734,0.361,16.8,False,,,,,
15,3,motorcycle,943,453,1052,628,960,495,1012,523,0.266,16.8,True,,,,no_text,22.9
16,3,car,1032,412,1185,546,1070,492,1114,511,0.604,16.9,True,,,,no_text,30.1
17,3,car,1030,407,1185,552,1068,497,1111,515,0.584,16.5,True,,,,no_text,29.1
18,3,car,1019,411,1181,553,1061,499,1108,517,0.627,16.5,True,,,,no_text,32.2
18,4,motorcycle,889,460,1015,667,899,529,961,558,0.319,16.5,True,,,,no_text,23.7
19,3,car,1014,406,1173,555,1057,501,1100,518,0.608,17.1,True,,,,no_text,32.3
19,4,motorcycle,871,456,1006,675,896,583,941,617,0.391,17.1,True,,,,no_text,20
19,4,motorcycle,871,456,1006,675,889,533,948,559,0.257,17.1,True,,,,no_text,25.4
20,3,car,1003,408,1171,563,1045,503,1092,521,0.703,17.2,True,,,,no_text,29.4
20,4,motorcycle,848,469,992,693,864,547,927,573,0.456,17.2,True,,,,no_text,27.1
21,4,motorcycle,836,471,981,699,852,554,913,579,0.66,17.4,True,,,,no_text,27.4
21,3,car,999,406,1171,563,1044,503,1091,523,0.659,17.4,True,,,,no_text,25.2
22,3,car,995,408,1170,565,1041,507,1089,528,0.573,17.2,True,,,,no_text,30.4
22,4,motorcycle,820,474,971,710,840,555,905,583,0.482,17.2,True,,,,no_text,26.8
22,4,motorcycle,820,474,971,710,846,610,894,640,0.266,17.2,True,,,,no_text,21.7
23,3,car,943,405,1149,583,995,516,1053,540,0.653,17.2,True,,,,no_text,27.1
23,5,motorcycle,639,484,870,828,670,615,737,653,0.649,17.2,True,8199,0.569,,rejected,89.1
23,5,motorcycle,639,484,870,828,690,530,757,558,0.315,17.2,False,,,,,
24,3,car,934,406,1146,585,989,517,1052,543,0.691,17.8,True,,,,no_text,69.1
24,5,motorcycle,610,470,850,850,661,530,732,565,0.515,17.8,False,,,,,
24,5,motorcycle,610,470,850,850,635,626,705,665,0.476,17.8,False,,,,,
25,5,motorcycle,577,494,830,879,599,638,679,683,0.725,17.2,False,,,,,
25,3,car,929,407,1144,590,985,519,1046,545,0.709,17.2,True,,,,no_text,69.7
25,5,motorcycle,577,494,830,879,634,542,696,571,0.424,17.2,False,,,,,
