frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
685,5,auto,1414,348,1916,1065,1608,646,1738,743,0.696,244.4,True,TN03D9766,0.985,TN03D9766,accepted,151.7
690,5,auto,1415,340,1916,1054,1611,641,1731,731,0.392,226.3,True,TN03D9766,0.987,TN03D9766,accepted,197.4
695,5,auto,1416,331,1917,1044,1612,631,1732,720,0.564,231.5,True,TN03D9766,0.987,TN03D9766,accepted,152.7
700,5,auto,1418,329,1917,1040,1607,628,1736,724,0.600,233.8,True,TN03D9766,0.973,TN03D9766,accepted,153.5
705,5,auto,1414,325,1916,1038,1608,626,1727,715,0.648,222.2,True,,,,no_text,117.8
710,5,auto,1411,325,1914,1038,1608,626,1723,711,0.642,219.4,True,TN03D9766,0.981,TN03D9766,accepted,153.6
715,5,auto,1414,326,1916,1037,1609,626,1723,709,0.690,229.4,True,TN03D9766,0.981,TN03D9766,accepted,153.6
720,5,auto,1414,324,1918,1036,1610,625,1723,707,0.632,223.6,True,TN03D9766,0.977,TN03D9766,accepted,196.3
725,5,auto,1415,324,1918,1035,1612,625,1727,707,0.462,247.6,True,97033,0.524,,rejected,121.3
730,5,auto,1415,323,1918,1034,1613,625,1721,701,0.552,225.5,True,TN03D9766,0.983,TN03D9766,accepted,154.4
745,5,auto,1415,321,1919,1032,1616,625,1718,696,0.538,226.6,True,TN03D9766,0.981,TN03D9766,accepted,156.1
750,5,auto,1415,321,1919,1031,1615,625,1715,695,0.458,220.6,True,TN03D9766,0.975,TN03D9766,accepted,154.8
755,5,auto,1415,320,1919,1031,1612,625,1717,698,0.339,223.9,True,TN03D9766,0.980,TN03D9766,accepted,154.4
760,5,auto,1415,320,1919,1031,1614,626,1714,695,0.438,222.3,True,TN03D9766,0.987,TN03D9766,accepted,197.5
