frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
250,8,auto,1375,325,1916,1024,1567,625,1688,720,0.693,268.3,True,,,,no_text,147.7
250,12,car,858,382,1109,557,907,495,966,515,0.534,268.3,True,,,,no_text,199.9
255,8,auto,1380,323,1917,1022,1572,623,1692,708,0.656,310.3,True,TN03D9766,0.976,TN03D9766,accepted,209.2
255,12,car,750,381,1068,593,816,520,897,547,0.585,310.3,True,TN41AR0C,0.609,,rejected,190.1
255,8,auto,1380,323,1917,1022,1565,622,1695,749,0.297,310.3,True,TN03D9766,0.962,TN03D9766,accepted,250.5
260,12,car,591,380,1005,650,662,559,758,594,0.598,262.6,True,TN41AR0082,0.901,TN41AR0082,accepted,173.5
260,8,auto,1382,323,1918,1022,1575,626,1687,702,0.347,262.6,True,TN03D9766,0.981,TN03D9766,accepted,194.8
265,13,car,55,373,846,837,141,689,289,741,0.789,256.6,True,TN41AR0082,0.976,TN41AR0082,accepted,172.7
270,8,auto,1391,325,1919,1027,1588,628,1695,697,0.363,356.3,True,TN03D9766,0.982,TN03D9766,accepted,258.9
275,8,auto,1395,324,1919,1026,1588,628,1701,706,0.386,249.5,True,TN03D9766,0.986,TN03D9766,accepted,188.8
280,8,auto,1391,324,1919,1028,1592,629,1695,694,0.409,242.1,True,TN03D9766,0.983,TN03D9766,accepted,246.2
285,8,auto,1393,320,1919,1026,1591,628,1697,696,0.495,251.2,True,TN03D9766,0.982,TN03D9766,accepted,260.9
290,8,auto,1393,325,1919,1029,1589,628,1695,699,0.325,245.5,True,TN03D9766,0.988,TN03D9766,accepted,279.2
305,14,auto,1394,322,1918,1027,1698,823,1782,869,0.341,329.1,True,,,,no_text,59.3
310,14,auto,1392,321,1919,1028,1696,820,1781,870,0.358,343.8,True,,,,no_text,51.4
315,8,auto,1395,324,1919,1028,1589,630,1695,699,0.261,241.2,True,TN03D9766,0.979,TN03D9766,accepted,255.8
320,14,auto,1392,321,1918,1026,1692,817,1782,870,0.292,237.1,True,,,,no_text,52.5
325,14,auto,1394,320,1919,1026,1696,822,1781,870,0.300,244.6,True,,,,no_text,54.8
340,14,auto,1396,320,1919,1026,1694,820,1779,870,0.314,233.8,True,,,,no_text,50.6
375,15,auto,1391,329,1919,1033,1582,630,1698,714,0.275,359.7,True,TN03D9766,0.974,TN03D9766,accepted,189.5
380,15,auto,1392,332,1918,1034,1589,635,1706,711,0.322,250.5,True,TN03D9766,0.972,TN03D9766,accepted,196.1
385,15,auto,1392,331,1918,1034,1586,633,1703,705,0.394,242.8,True,TN03D9766,0.982,TN03D9766,accepted,251.2
390,15,auto,1396,330,1919,1032,1591,631,1698,699,0.388,247.9,True,TN03D9766,0.979,TN03D9766,accepted,248.1
395,15,auto,1401,329,1919,1033,1597,632,1707,698,0.522,244.1,True,TN03D9766,0.981,TN03D9766,accepted,241.4
400,15,auto,1405,329,1918,1035,1596,631,1711,702,0.593,239.1,True,TN03D9766,0.984,TN03D9766,accepted,198.9
400,15,auto,1405,329,1918,1035,1594,629,1716,756,0.363,239.1,True,TN03D9766,0.952,TN03D9766,accepted,186.9
400,16,car,998,395,1105,516,1062,489,1110,513,0.296,239.1,True,,,,no_text,64.0
405,15,auto,1408,331,1919,1036,1599,630,1716,702,0.606,248.2,True,TN03D9766,0.978,TN03D9766,accepted,257.8
410,15,auto,1405,328,1920,1037,1602,628,1711,697,0.589,237.3,True,TN03D9766,0.975,TN03D9766,accepted,206.4
410,17,motorcycle,890,463,1067,780,921,590,983,625,0.474,237.3,True,,,,no_text,61.1
415,15,auto,1414,329,1920,1034,1608,631,1719,703,0.628,408.7,True,TN03D9766,0.982,TN03D9766,accepted,248.1
415,17,motorcycle,778,487,1020,877,840,556,909,595,0.324,408.7,True,,,,no_text,52.9
415,16,motorcycle,1046,443,1177,639,1077,490,1133,519,0.251,408.7,True,,,,no_text,175.6
420,15,auto,1417,330,1919,1034,1610,632,1725,702,0.589,253.6,True,TN03D9766,0.956,TN03D9766,accepted,196.8
420,16,motorcycle,1016,450,1160,675,1054,508,1111,540,0.354,253.6,True,,,,no_text,152.5
420,15,auto,1417,330,1919,1034,1607,624,1732,748,0.250,253.6,True,TN03D9766,0.959,TN03D9766,accepted,416.1
425,15,auto,1423,330,1919,1035,1614,630,1735,701,0.609,350.6,True,TN03D9766,0.974,TN03D9766,accepted,197.7
425,16,motorcycle,966,464,1133,724,1005,527,1072,562,0.513,350.6,True,,,,no_text,56.7
425,15,auto,1423,330,1919,1035,1614,623,1740,736,0.316,350.6,True,TN03D9766,0.965,TN03D9766,accepted,204.8
430,18,car,293,390,868,732,356,615,467,647,0.725,239.1,True,TN370F3523,0.939,TN37OF3523,accepted,177.7
430,16,motorcycle,911,473,1108,783,948,552,1023,590,0.625,239.1,True,,,,no_text,58.1
430,15,auto,1426,328,1919,1034,1619,627,1737,700,0.601,239.1,True,TN03D9766,0.958,TN03D9766,accepted,216.7
435,19,car,0,392,734,867,0,708,62,755,0.631,418.4,True,3523,0.838,,rejected,156.7
435,16,motorcycle,819,477,1072,884,862,593,949,639,0.592,418.4,True,DUNIOBY5351,0.706,,rejected,208.9
435,15,auto,1427,328,1919,1038,1627,631,1741,700,0.504,418.4,True,TN03D9766,0.989,TN03D9766,accepted,211.8
440,16,motorcycle,664,502,1028,1031,720,654,827,713,0.587,243.6,True,TN1OBY5351,0.844,TN1OBY5351,accepted,199.7
440,15,auto,1435,330,1920,1037,1636,631,1743,697,0.352,243.6,True,TN03D9766,0.979,TN03D9766,accepted,207.4
445,20,motorcycle,236,580,872,1078,339,821,484,908,0.410,371.9,True,TH108Y5351,0.894,TN1OBY5351,accepted,209.7
445,15,auto,1444,326,1920,1038,1638,627,1761,704,0.363,371.9,True,TN03D9766,0.981,TN03D9766,accepted,203.1
450,15,auto,1447,328,1920,1039,1643,628,1757,701,0.292,275.6,True,TN03D9766,0.988,TN03D9766,accepted,199.7
450,21,auto,1447,328,1920,1039,1839,729,1919,775,0.270,275.6,True,LPG,0.988,,rejected,169.7
465,15,auto,1445,327,1920,1040,1639,627,1760,707,0.392,288.9,True,TN03D9766,0.982,TN03D9766,accepted,195.9
470,15,auto,1446,326,1920,1040,1639,628,1755,706,0.406,232.7,True,TN03D9766,0.974,TN03D9766,accepted,250.4
475,15,auto,1444,326,1920,1039,1635,628,1756,708,0.290,309.1,True,TN03D9766,0.973,TN03D9766,accepted,203.9
480,15,auto,1442,323,1919,1039,1637,628,1753,702,0.435,263.4,True,TN03D9766,0.956,TN03D9766,accepted,256.8
485,15,auto,1444,322,1919,1038,1640,624,1754,699,0.595,232.4,True,TN03D9766,0.984,TN03D9766,accepted,216.4
485,22,car,1022,396,1196,519,1061,471,1108,487,0.524,232.4,True,,,,no_text,59.3
490,15,auto,1442,322,1919,1035,1637,623,1763,709,0.551,252.4,True,TN03D9766,0.966,TN03D9766,accepted,186.9
490,22,car,976,394,1174,533,1019,479,1072,502,0.481,252.4,True,,,,no_text,203.8
495,22,car,915,396,1152,553,965,495,1021,514,0.636,266.6,True,,,,no_text,181.9
495,15,auto,1448,317,1919,1038,1648,624,1766,701,0.438,266.6,True,TN03D9766,0.980,TN03D9766,accepted,220.2
500,22,car,840,392,1116,573,892,510,957,534,0.748,238.3,True,8535,0.792,,rejected,218.5
500,15,auto,1453,317,1919,1035,1657,627,1766,697,0.370,238.3,True,TN03D9766,0.985,TN03D9766,accepted,200.5
505,22,car,661,392,1041,628,719,553,802,580,0.695,240.9,True,TH093T8535,0.801,,rejected,175.2
510,22,car,435,392,960,702,496,602,604,636,0.716,234.2,True,TH09BT8535,0.850,TN09BT8535,accepted,180.2
515,23,car,39,389,836,823,85,693,219,738,0.770,238.0,True,,,,no_text,173.7
520,24,auto,1462,318,1919,1033,1847,631,1919,766,0.504,290.9,True,,,,no_text,115.8
520,15,auto,1462,318,1919,1033,1657,624,1771,702,0.437,290.9,True,TN03D9766,0.987,TN03D9766,accepted,255.4
525,15,auto,1459,321,1919,1036,1658,625,1777,710,0.465,233.4,True,,,,no_text,167.0
530,15,auto,1458,317,1919,1035,1658,624,1773,700,0.387,402.3,True,TN03D9766,0.988,TN03D9766,accepted,200.1
535,15,auto,1460,319,1919,1035,1659,624,1774,702,0.466,238.3,True,TN03D9766,0.980,TN03D9766,accepted,202.8
540,15,auto,1460,317,1919,1033,1659,627,1772,696,0.307,326.0,True,TN03D9766,0.982,TN03D9766,accepted,228.2
545,15,auto,1461,318,1919,1033,1662,624,1776,698,0.520,232.7,True,TN03D9766,0.947,TN03D9766,accepted,255.1
550,15,auto,1461,317,1919,1035,1656,620,1778,714,0.538,236.1,True,,,,no_text,194.5
555,15,auto,1459,319,1919,1036,1655,625,1772,705,0.604,265.7,True,TN03D9766,0.971,TN03D9766,accepted,247.3
560,15,auto,1457,317,1919,1037,1654,622,1775,710,0.609,236.7,True,TN03D9766,0.983,TN03D9766,accepted,180.7
560,15,auto,1457,317,1919,1037,1647,619,1779,753,0.295,236.7,True,TN03D9766,0.964,TN03D9766,accepted,285.1
565,15,auto,1456,321,1919,1038,1654,619,1777,714,0.668,244.4,True,TN03D9766,0.963,TN03D9766,accepted,187.5
