frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms,,,
410,17,motorcycle,890,463,1067,780,921,590,983,625,0.474,219.4,True,,,,no_text,52.6,,,
415,15,auto,1414,329,1920,1034,1608,631,1719,703,0.628,222.8,True,TN03D9766,0.982,TN03D9766,accepted,232,,,
415,17,motorcycle,778,487,1020,877,840,556,909,595,0.324,222.8,True,,,,no_text,51.6,,,
415,16,motorcycle,1046,443,1177,639,1077,490,1133,519,0.251,222.8,True,,,,no_text,177.5,,,
420,15,auto,1417,330,1919,1034,1610,632,1725,702,0.589,222.8,True,TN03D9766,0.956,TN03D9766,accepted,205.2,,,
420,16,motorcycle,1016,450,1160,675,1054,508,1111,540,0.354,222.8,True,,,,no_text,150.6,,,
420,15,auto,1417,330,1919,1034,1607,624,1732,748,0.25,222.8,True,TN03D9766,0.959,TN03D9766,accepted,347.3,,,
425,15,auto,1423,330,1919,1035,1614,630,1735,701,0.609,249.8,True,TN03D9766,0.974,TN03D9766,accepted,185.2,,,
425,16,motorcycle,966,464,1133,724,1005,527,1072,562,0.513,249.8,True,,,,no_text,56.7,,,
425,15,auto,1423,330,1919,1035,1614,623,1740,736,0.316,249.8,True,TN03D9766,0.965,TN03D9766,accepted,194.7,,,
430,18,car,293,390,868,732,356,615,467,647,0.725,219.4,True,TN370F3523,0.939,TN37OF3523,accepted,167.7,,,
430,16,motorcycle,911,473,1108,783,948,552,1023,590,0.625,219.4,True,,,,no_text,63.8,,,
430,15,auto,1426,328,1919,1034,1619,627,1737,700,0.601,219.4,True,TN03D9766,0.958,TN03D9766,accepted,214.7,,,
435,19,car,0,392,734,867,0,708,62,755,0.631,221.7,True,3523,0.838,,rejected,140.1,,,
435,16,motorcycle,819,477,1072,884,862,593,949,639,0.592,221.7,True,DUNIOBY5351,0.706,,rejected,207,,,
435,15,auto,1427,328,1919,1038,1627,631,1741,700,0.504,221.7,True,TN03D9766,0.989,TN03D9766,accepted,191.1,,,
440,16,motorcycle,664,502,1028,1031,720,654,827,713,0.587,224.8,True,TN1OBY5351,0.844,TN1OBY5351,accepted,188.4,,,
440,15,auto,1435,330,1920,1037,1636,631,1743,697,0.352,224.8,True,TN03D9766,0.979,TN03D9766,accepted,194.3,,,
445,20,motorcycle,236,580,872,1078,339,821,484,908,0.41,215.5,True,TH108Y5351,0.894,TN1OBY5351,accepted,185.5,,,
445,15,auto,1444,326,1920,1038,1638,627,1761,704,0.363,215.5,True,TN03D9766,0.981,TN03D9766,accepted,190.5,,,
450,15,auto,1447,328,1920,1039,1643,628,1757,701,0.292,224.6,True,TN03D9766,0.988,TN03D9766,accepted,180.7,,,
450,21,auto,1447,328,1920,1039,1839,729,1919,775,0.27,224.6,True,LPG,0.988,,rejected,148.7,,,
465,15,auto,1445,327,1920,1040,1639,627,1760,707,0.392,213.4,True,TN03D9766,0.982,TN03D9766,accepted,181.9,,,
470,15,auto,1446,326,1920,1040,1639,628,1755,706,0.406,207,True,TN03D9766,0.974,TN03D9766,accepted,223,,,
475,15,auto,1444,326,1920,1039,1635,628,1756,708,0.29,216,True,TN03D9766,0.973,TN03D9766,accepted,180.2,,,
480,15,auto,1442,323,1919,1039,1637,628,1753,702,0.435,239.3,True,TN03D9766,0.956,TN03D9766,accepted,235.1,,,
485,15,auto,1444,322,1919,1038,1640,624,1754,699,0.595,212,True,TN03D9766,0.984,TN03D9766,accepted,186.8,,,
485,22,car,1022,396,1196,519,1061,471,1108,487,0.524,212,True,,,,no_text,72.3,,,
490,15,auto,1442,322,1919,1035,1637,623,1763,709,0.551,234.7,True,TN03D9766,0.966,TN03D9766,accepted,178.5,,,
490,22,car,976,394,1174,533,1019,479,1072,502,0.481,234.7,True,,,,no_text,160.6,,,
495,22,car,915,396,1152,553,965,495,1021,514,0.636,210.3,True,,,,no_text,172.9,,,
495,15,auto,1448,317,1919,1038,1648,624,1766,701,0.438,210.3,True,TN03D9766,0.98,TN03D9766,accepted,214.8,,,
500,22,car,840,392,1116,573,892,510,957,534,0.748,231.5,True,8535,0.792,,rejected,202.6,,,
500,15,auto,1453,317,1919,1035,1657,627,1766,697,0.37,231.5,True,TN03D9766,0.985,TN03D9766,accepted,187.9,,,
505,22,car,661,392,1041,628,719,553,802,580,0.695,236.1,True,TH093T8535,0.801,,rejected,169.7,,,
510,22,car,435,392,960,702,496,602,604,636,0.716,234.4,True,TH09BT8535,0.85,TN09BT8535,accepted,173.2,,,
515,23,car,39,389,836,823,85,693,219,738,0.77,207.7,True,,,,no_text,170.1,,,
520,24,auto,1462,318,1919,1033,1847,631,1919,766,0.504,211.1,True,,,,no_text,97.4,,,
520,15,auto,1462,318,1919,1033,1657,624,1771,702,0.437,211.1,True,TN03D9766,0.987,TN03D9766,accepted,252,,,
525,15,auto,1459,321,1919,1036,1658,625,1777,710,0.465,232,True,,,,no_text,138.9,,,
530,15,auto,1458,317,1919,1035,1658,624,1773,700,0.387,219.6,True,TN03D9766,0.988,TN03D9766,accepted,185.8,,,
535,15,auto,1460,319,1919,1035,1659,624,1774,702,0.466,218.5,True,TN03D9766,0.98,TN03D9766,accepted,182.6,,,
540,15,auto,1460,317,1919,1033,1659,627,1772,696,0.307,236.3,True,TN03D9766,0.982,TN03D9766,accepted,221.4,,,
545,15,auto,1461,318,1919,1033,1662,624,1776,698,0.52,202.4,True,TN03D9766,0.947,TN03D9766,accepted,229.2,,,
550,15,auto,1461,317,1919,1035,1656,620,1778,714,0.538,228.7,True,,,,no_text,175.5,,,
555,15,auto,1459,319,1919,1036,1655,625,1772,705,0.604,208.1,True,TN03D9766,0.971,TN03D9766,accepted,228.1,,,
560,15,auto,1457,317,1919,1037,1654,622,1775,710,0.609,205.7,True,TN03D9766,0.983,TN03D9766,accepted,175.5,,,
560,15,auto,1457,317,1919,1037,1647,619,1779,753,0.295,205.7,True,TN03D9766,0.964,TN03D9766,accepted,256.6,,,
565,15,auto,1456,321,1919,1038,1654,619,1777,714,0.668,218.7,True,TN03D9766,0.963,TN03D9766,accepted,175.7,,,
565,15,auto,1456,321,1919,1038,1645,618,1780,756,0.454,218.7,True,,,,no_text,176.9,,,
565,25,auto,1456,321,1919,1038,1849,634,1920,765,0.334,218.7,True,,,,no_text,128.7,,,
570,15,auto,1461,326,1920,1037,1657,625,1776,712,0.634,224.7,True,TN03D9766,0.978,TN03D9766,accepted,182.6,,,
570,15,auto,1461,326,1920,1037,1652,621,1780,757,0.449,224.7,True,TN0309766,0.909,TN03O9766,accepted,218.1,,,
575,15,auto,1447,322,1919,1040,1653,621,1774,719,0.521,232.5,True,TN03D9766,0.984,TN03D9766,accepted,175.1,,,
575,15,auto,1447,322,1919,1040,1646,618,1778,757,0.428,232.5,True,9766,0.915,,rejected,135.6,,,
575,25,auto,1447,322,1919,1040,1846,637,1920,776,0.265,232.5,True,,,,no_text,37.8,,,
580,15,auto,1454,326,1920,1037,1655,623,1776,718,0.673,229,True,TN03D9766,0.977,TN03D9766,accepted,178.2,,,
580,15,auto,1454,326,1920,1037,1649,620,1779,756,0.537,229,True,TN03D9766,0.921,TN03D9766,accepted,220.4,,,
580,25,auto,1454,326,1920,1037,1846,638,1920,774,0.275,229,True,,,,no_text,30.5,,,
585,15,auto,1457,323,1919,1039,1657,624,1774,710,0.635,246.3,True,TN03D9766,0.979,TN03D9766,accepted,177.3,,,
585,15,auto,1457,323,1919,1039,1652,619,1779,758,0.512,246.3,True,TN0309766,0.887,TN03O9766,accepted,216.1,,,
590,15,auto,1455,323,1919,1040,1650,624,1774,714,0.502,218.3,True,TN03D9766,0.974,TN03D9766,accepted,178.5,,,
590,15,auto,1455,323,1919,1040,1643,620,1778,760,0.309,218.3,True,TN03D9766,0.933,TN03D9766,accepted,217.9,,,
590,25,auto,1455,323,1919,1040,1844,666,1920,774,0.255,218.3,True,2020,0.972,,rejected,127.3,,,
595,15,auto,1447,329,1919,1043,1648,629,1765,709,0.395,221.2,True,TN03D9766,0.968,TN03D9766,accepted,178.2,,,
600,15,auto,1434,333,1920,1042,1630,629,1764,756,0.5,222.5,True,TN03D9766,0.959,TN03D9766,accepted,253.6,,,
610,15,auto,1418,332,1919,1041,1619,631,1737,720,0.406,226.7,True,TN03D9766,0.986,TN03D9766,accepted,174.1,,,
615,15,auto,1416,333,1920,1038,1608,627,1737,756,0.597,220.6,True,TN03D976615,0.814,,rejected,255,,,
620,15,auto,1412,335,1920,1042,1611,632,1722,712,0.575,222.3,True,TN03D9766,0.983,TN03D9766,accepted,179.7,,,
625,15,auto,1412,336,1920,1044,1610,635,1726,717,0.552,218.8,True,TN03D9766,0.978,TN03D9766,accepted,178.1,,,
630,15,auto,1408,336,1920,1044,1611,637,1720,715,0.519,217.5,True,TN03D9766,0.98,TN03D9766,accepted,178.7,,,
640,15,auto,1413,337,1920,1045,1610,630,1733,735,0.367,249.8,True,TN03D9766,0.969,TN03D9766,accepted,218.8,,,
645,15,auto,1414,339,1920,1049,1616,639,1725,722,0.289,249.5,True,TN03D9766,0.988,TN03D9766,accepted,177.9,,,
660,15,auto,1414,341,1920,1055,1616,641,1726,722,0.481,222.1,True,TN03D9766,0.971,TN03D9766,accepted,181.7,,,
670,15,auto,1416,343,1920,1058,1614,644,1723,727,0.421,216.1,True,TN03D9766,0.974,TN03D9766,accepted,178.8,,,
675,15,auto,1415,345,1920,1061,1617,649,1727,729,0.638,218.3,True,TN03D9766,0.984,TN03D9766,accepted,179.2,,,
680,15,auto,1408,347,1920,1064,1615,645,1729,737,0.65,254.7,True,TN03D9766,0.978,TN03D9766,accepted,178.3,,,
685,15,auto,1411,349,1920,1066,1616,645,1735,746,0.696,225.9,True,TN03D9766,0.981,TN03D9766,accepted,176.2,,,
690,15,auto,1412,335,1920,1047,1616,637,1725,722,0.392,224.1,True,,,,no_text,142,,,
695,15,auto,1416,326,1920,1039,1610,627,1736,715,0.564,216.4,True,TN03D9766,0.984,TN03D9766,accepted,187,,,
700,15,auto,1417,328,1920,1038,1611,626,1733,725,0.6,229.3,True,TN03D9766A,0.843,,rejected,226.3,,,
700,15,auto,1417,328,1920,1038,1604,621,1737,758,0.427,229.3,True,TN03D9766LPO,0.817,,rejected,262.6,,,
705,15,auto,1408,323,1920,1038,1605,626,1725,710,0.648,227,True,TN03D9766,0.978,TN03D9766,accepted,184,,,
710,15,auto,1405,326,1920,1039,1606,627,1726,710,0.642,254.3,True,TN03D9766,0.986,TN03D9766,accepted,228.3,,,
